"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,1,2,69,46,"C",3,8,1,1,1,1,4,170,1
1,1,1,2,69,50,"C",4,9,2,1,1,1,4,150,1
1,1,1,2,68,54,"H",4,8,1,1,4,1,4,120,1
1,1,1,2,68,72,"L",4,9,2,1,1,1,4,170,2
1,1,1,2,69,33,"N",2,9,2,1,1,1,4,120,2
1,1,1,4,69,24,"F",1,7,3,1,1,2,2,50,2
1,1,1,3,68,22,"H",2,9,3,2,1,2,2,100,2
1,1,2,1,68,46,"A",1,8,3,1,1,2,2,50,2
1,1,2,2,69,32,"B",2,8,1,1,1,1,4,250,1
1,1,2,2,69,32,"C",1,9,1,1,1,2,4,130,1
1,1,2,2,69,32,"N",1,9,2,1,1,2,4,135,2
1,1,2,2,69,32,"O",2,9,2,1,2,1,2,150,2
1,1,2,2,68,32,"O",6,9,2,1,2,1,2,200,2
1,1,2,2,69,36,"N",1,9,1,1,1,2,4,175,1
